Aircraft Name,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2021 Pilatus PC-24,D-CHMS,0221,Inquire,"2,874","1,978",SE,EAC Aircraft Sales AB,https://www.aso.com/listings/spec/ViewAd.aspx?id=199068&listingType=true
2019 Pilatus PC-24,SP-AGA,134,Inquire,"1,340",995,"FL, US","Global Wings, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197257&listingType=true
2013 Nextant 400XT i,N401BC,RK-305,Inquire,"12,595","10,208","IN, US",Donath Aircraft Services,https://www.aso.com/listings/spec/ViewAd.aspx?id=195027&listingType=true
2013 Nextant 400XT i,N467FL,RK-468,Inquire,"10,089","8,019","OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197829&listingType=true
2011 Nextant 400XT,N75TG,RK-28,"$ 1,590,000","6,398","5,675","NY, US",evoJets,https://www.aso.com/listings/spec/ViewAd.aspx?id=192686&listingType=true
2016 Learjet 75,N/A,N/A,Inquire,"3,940","2,880",GB,Flightline Aviation Ltd ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198300&listingType=true
2016 Learjet 75,N758A,45-553,Inquire,"3,353","2,592","TN, US",JetRight Aerospace Holdings LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198872&listingType=true
2015 Learjet 75,N475FX,508,Inquire,"4,725","3,545","OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197830&listingType=true
2017 Learjet 75,M-JPEB,529,"$ 6,750,000","1,360",960,DE,Business Aviation Services Gmbh,https://www.aso.com/listings/spec/ViewAd.aspx?id=196984&listingType=true
2018 Learjet 75,N75AX,569,Inquire,"2,870","2,009","OK, US",Omni Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198130&listingType=true
2008 Learjet 60 XR,N356JH,0356,"$ 3,895,000","4,300","3,111","TX, US",JetPro Texas,https://www.aso.com/listings/spec/ViewAd.aspx?id=198551&listingType=true
2010 Learjet 60 XR,N106FF,0375,Inquire,"3,852","2,416","TX, US",Integrity Jets,https://www.aso.com/listings/spec/ViewAd.aspx?id=199351&listingType=true
2008 Learjet 60 XR,N335SJ,335,"$ 3,100,000","5,650","3,468","VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=194711&listingType=true
2008 Learjet 60 XR,N770X,336,Inquire,"2,890","1,945","VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198907&listingType=true
2008 Learjet 60 XR,N160SJ,345,"$ 2,995,000","4,869","3,357","OH, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197208&listingType=true
2008 Learjet 60 XR,LV-BTA,353,Inquire,"4,307","2,756",AR,Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196280&listingType=true
