Year,Make,Model,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2021,Pilatus,PC-24,D-CHMS,0221,Inquire,2874,1978,SE,EAC Aircraft Sales AB,https://www.aso.com/listings/spec/ViewAd.aspx?id=199068&listingType=true
2019,Pilatus,PC-24,SP-AGA,134,Inquire,1340,995,"FL, US","Global Wings, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197257&listingType=true
2013,Nextant,400XT i,N401BC,RK-305,Inquire,12595,10208,"IN, US",Donath Aircraft Services,https://www.aso.com/listings/spec/ViewAd.aspx?id=195027&listingType=true
2013,Nextant,400XT i,N467FL,RK-468,Inquire,10089,8019,"OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197829&listingType=true
2011,Nextant,400XT,N75TG,RK-28,1590000,6398,5675,"NY, US",evoJets,https://www.aso.com/listings/spec/ViewAd.aspx?id=192686&listingType=true
2016,Learjet,75,,,Inquire,3940,2880,GB,Flightline Aviation Ltd ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198300&listingType=true
2016,Learjet,75,N758A,45-553,Inquire,3353,2592,"TN, US",JetRight Aerospace Holdings LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198872&listingType=true
2015,Learjet,75,N475FX,508,Inquire,4725,3545,"OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197830&listingType=true
2017,Learjet,75,M-JPEB,529,6750000,1360,960,DE,Business Aviation Services Gmbh,https://www.aso.com/listings/spec/ViewAd.aspx?id=196984&listingType=true
2018,Learjet,75,N75AX,569,Inquire,2870,2009,"OK, US",Omni Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198130&listingType=true
2008,Learjet,60 XR,N356JH,0356,3895000,4300,3111,"TX, US",JetPro Texas,https://www.aso.com/listings/spec/ViewAd.aspx?id=198551&listingType=true
2010,Learjet,60 XR,N106FF,0375,Inquire,3852,2416,"TX, US",Integrity Jets,https://www.aso.com/listings/spec/ViewAd.aspx?id=199351&listingType=true
2008,Learjet,60 XR,N335SJ,335,3100000,5650,3468,"VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=194711&listingType=true
2008,Learjet,60 XR,N770X,336,Inquire,2890,1945,"VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198907&listingType=true
2008,Learjet,60 XR,N160SJ,345,2995000,4869,3357,"OH, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197208&listingType=true
2008,Learjet,60 XR,LV-BTA,353,Inquire,4307,2756,AR,Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196280&listingType=true
